training_seed,condition_id,condition_family,joint_one_based,success_count,success_rate,success_rate_delta_vs_baseline,desired_revolutions_mean,desired_revolutions_delta_mean,desired_revolutions_delta_ci_low,desired_revolutions_delta_ci_high,forward_body_lengths_mean,forward_body_lengths_delta_mean,forward_body_lengths_delta_ci_low,forward_body_lengths_delta_ci_high,desired_active_rotation_fraction_mean,desired_active_rotation_fraction_delta_mean,desired_active_rotation_fraction_delta_ci_low,desired_active_rotation_fraction_delta_ci_high
9205,J01_ONLY,single_joint_retention,1.0,0,0.0,-1.0,0.00555592001131878,-1.599188685644757,-1.6875010037529925,-1.5009922243525906,-0.023574480391156373,-2.7308773940794957,-2.932660405775962,-2.523209026965842,0.48001806465630625,-0.38229099757858054,-0.4030714391423901,-0.3569050938673815
9205,J02_ONLY,single_joint_retention,2.0,0,0.0,-1.0,0.0003923071333480625,-1.6043522985227276,-1.6945023704762008,-1.5099973370422308,-0.0182358731372306,-2.7255387868255694,-2.9285741766795477,-2.5145150535246565,0.5743082496849177,-0.288000812549969,-0.3107087061207905,-0.2620170140918043
9205,J03_ONLY,single_joint_retention,3.0,0,0.0,-1.0,0.0003185529036780703,-1.6044260527523975,-1.6924367303925738,-1.5074000872352011,-0.00013467762706213929,-2.7074375913154016,-2.904910668812252,-2.499561474525012,0.5509983665823078,-0.31131069565257885,-0.3965529512313538,-0.22201934306850954
9205,J04_ONLY,single_joint_retention,4.0,0,0.0,-1.0,1.9492999344495837e-05,-1.6047251126567315,-1.6938439226435247,-1.5080113400366668,-0.0020084833342651856,-2.7093113970226046,-2.9084627377363823,-2.4957788985037745,0.4577212053811853,-0.4045878568537014,-0.4677196718510369,-0.3421778407329705
9205,J05_ONLY,single_joint_retention,5.0,0,0.0,-1.0,4.792711535649465e-06,-1.6047398129445398,-1.6930834427432164,-1.5087031089962295,0.0004190430568715931,-2.7068838706314677,-2.9078181503541582,-2.4983981764447707,0.5592715617715618,-0.303037500463325,-0.44982952661769554,-0.15951110997287765
9205,J06_ONLY,single_joint_retention,6.0,0,0.0,-1.0,1.1669672393441455e-05,-1.6047329359836824,-1.692943601226245,-1.5073215997743605,-2.597461082071073e-05,-2.70732888829916,-2.910938093623707,-2.4998599446293492,0.5576783497894178,-0.30463071244546885,-0.42704032787043256,-0.17877093316974246
9205,J07_ONLY,single_joint_retention,7.0,0,0.0,-1.0,-0.001440910579701429,-1.606185516235777,-1.6944226019158317,-1.5086094190567543,0.015220421574043236,-2.692082492114296,-2.8943728875795354,-2.4837966794326247,0.4999232240665795,-0.3623858381683073,-0.3868150935163437,-0.33539029185472624
9205,J08_ONLY,single_joint_retention,8.0,0,0.0,-1.0,1.1577257089298148e-05,-1.6047330283989865,-1.6928337657338137,-1.5083111905985984,-5.122529730639633e-05,-2.707354138985646,-2.9024969078334064,-2.5041790448997827,0.48382423891247417,-0.37848482332241257,-0.49923976801415987,-0.2590724200733955
9205,J01_K1_OFF,joint_k1_ablation,1.0,20,1.0,0.0,1.7816824238219513,0.1769378181658759,-0.012548526059066888,0.35948883656783726,3.1676501488566844,0.46034723516834497,0.09888099742636926,0.7994642311837049,0.871253114426031,0.008944052191144369,-0.02788454293268042,0.045147519505073924
9205,J02_K1_OFF,joint_k1_ablation,2.0,1,0.05,-0.95,0.39429213782824113,-1.2104524678278348,-1.392475725161425,-1.0172871261841905,0.5251858779037498,-2.18211703578459,-2.4717389282532753,-1.8909806940242604,0.5756643358625032,-0.2866447263723835,-0.33106802396987384,-0.242404006215778
9205,J03_K1_OFF,joint_k1_ablation,3.0,0,0.0,-1.0,0.16471231286239932,-1.4400322927936762,-1.5725311056461606,-1.2969426985530434,0.42553808977511565,-2.2817648239132238,-2.5439788568207833,-2.021323763867939,0.5169299787461714,-0.3453790834887153,-0.37928332146554167,-0.30920297367303445
9205,J04_K1_OFF,joint_k1_ablation,4.0,16,0.8,-0.19999999999999996,1.6372758408112056,0.032531235155129866,-0.2833715129513773,0.3141208950946999,1.9336621820412243,-0.7736407316471151,-1.1471993074472895,-0.39082453371632714,0.8570861541081388,-0.005222908126747955,-0.03553187637197645,0.02388187523099028
9205,J05_K1_OFF,joint_k1_ablation,5.0,19,0.95,-0.050000000000000044,1.514032399781861,-0.09071220587421462,-0.24164230755978897,0.05998358725704975,2.8529099384248284,0.14560702473648907,-0.20287812777263411,0.45839617493144513,0.8439379231661933,-0.0183711390686934,-0.04521307234831917,0.008701013387308564
